"12 Month HEPS",-3.53,-3.97,-7.32,-7.53,-3.49,-5.37,

Cash flow items,"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Working capital changes",,,,15437,,,
"Cash generated from operations after WC",5406,22337,7397,78129,20873,32461,
"Net Cash flow from operating activities",3114,17482,5664,-17003,21001,-6262,
"Net cash flow from investing activities",,-15047,-9236,-53785,-47159,,
"Net cash flow from financing activities",-2523,-2698,2428,72722,30719,6184,
"Net increase(decrease) in cash & cash equivalents",590,-263,-1145,1933,4562,-78,
"Cash & Cash Equivalent beginning of period",1614,1877,1877,-56,7,22,
"Cash & Cash Equivalent acquired/disposed",234,,,,,,
"Cash & Cash Equivalent end of period",2204,1614,732,1877,4569,-56,

Ratios,"Jun 2019","Dec 2018","Jun 2018","Dec 2017","Jun 2017","Dec 2016",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (10m)",
,"3 Oct 2019","2 May 2019","16 Oct 2018","20 Sep 2018","30 Aug 2017","18 Apr 2017",
"Return on Capital Employed",-28.28,-22.54,-5.6,-11.94,-2.9,-30.12,
"Return on Shareholder Funds",-36.03,-28.32,-6.65,-14.42,-3.26,-65.77,
"Return on Total Assets",-0.87,-22.07,-2.55,-13.29,-3.56,-28.08,
"Operating Profit Margin",2.05,-52.79,-2.92,-33.45,-11.12,-32.01,
"Net Profit Margin",-39.89,-49.46,-13.67,-33.05,-7.69,-29.09,
"Debt:Equity (excl non-int debt)",0.27,0.26,0.19,0.21,0.12,1.19,
"Interest Bearing Debt as % of Long-Term Finance",18.07,14.92,11.63,10.68,10.88,54.21,
"Interest Cover",0.51,-9.94,-0.8,-8.69,25.02,-3.99,
"Quick Ratio",0.41,0.09,1.84,2.05,0.71,0.23,
"Current Ratio",0.41,0.09,1.84,2.05,0.71,0.23,
"Debtors Collection Period",16.2,18.08,333.47,15.24,27.64,14.85,
"Price : Earnings",-1.98,-3.78,-4.37,-3.85,-17.15,,
"Sales Per Share (Base Currency)",27.08,20.27,22.06,24.13,21,19.03,
"Price/Sales Per Share",0.26,0.74,1.45,1.2,2.86,,
"Price/Net Asset Value",0.23,0.42,0.72,0.63,1.52,,
"Price/Cash Flow",18.18,3.49,46.04,-6.9,19.61,,
"NAV%Price",434.29,235.87,137.94,158.34,65.97,,
"Liquidity%",4.89,17.53,14.23,-22.2,105.06,-18.48,
"Cash Flow:Attributable Profit",-18.37,-0.51,-5.39,0.63,-18.97,0.81,
"Cash/Equity (%)",1.62,,0.83,,3.36,,
"EV/Ebitda (Pd)",21.24,-2.02,-189.74,,-75.33,,
"PEG Ratio",0.18,0.34,0.06,0.06,,,

