"Enterprise Value (EV)",8218465,7109729,5748560,4755253,4869183,6405579,4160872,3166427,2994031,2896393,3118722,2633458,

Balance sheet (ZAR '000),"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Fixed Assets",890790,854506,783574,705974,684633,516045,405052,309255,258146,207534,176869,150530,
"Goodwill",138172,131503,134396,122098,132904,107597,117467,102045,151615,156011,146085,144269,
"Intangible Assets",49376,40739,23280,13636,,,,,,,,,
"Deferred Tax Asset",106563,106482,55364,98055,61137,49488,50347,41641,43287,34517,25693,20410,
"Other Assets",163633,144549,127512,108547,82426,,,,,,,,
"Total Fixed Assets",1348534,1277779,1124126,1048310,961100,673130,572866,452941,453048,398062,348647,315209,
"Stock",209558,151616,203451,206026,188927,173680,160348,123140,86705,88318,91932,62532,
"Debtors",286489,251747,205031,215589,195817,154952,164494,151438,130956,128655,94746,81705,
"Cash",232397,145787,141069,51906,51983,69573,42121,70078,56615,45181,67044,110047,
"Tax",5413,6511,2893,7054,7253,4143,3320,1639,2576,5500,4847,449,
"Other Current Assets",11000,11013,520,213,1063,2272,1823,4588,1823,1624,5347,5263,
"Total Current Assets",744857,566674,552964,480788,445043,404620,372106,350883,278675,269278,263916,259996,
"Total Assets",2093391,1844453,1677090,1529098,1406143,1077750,944972,803824,731723,667340,612563,575205,
"Ordinary Share Capital & Premium",42488,42488,42488,42488,42488,42488,42488,42488,42488,42488,42488,42488,
"Treasury Shares",12105,12105,12105,12105,12105,12105,12105,,,,,,
"Distributable Reserves",1248291,1153683,986396,806306,680855,601224,495287,461745,379271,375306,304767,32251,
"Non-Distributable Reserves",56671,16124,13869,-15462,18565,-41311,-20657,-56656,8145,26314,37385,,
"Other Capital",,,,,,,,,,,,285632,
"Ordinary Shareholders' Interest",1335345,1200190,1030648,821227,729803,590296,505013,447577,429904,444108,384640,360371,
"Minority Interest",21489,24185,21435,16391,5382,10125,12871,14200,17945,16387,20215,13391,
"Total Shareholders' Interest",1356834,1224375,1052083,837618,735185,600421,517884,461777,447849,460495,404855,373762,
"Interest Bearing Loans",17274,17815,184982,218765,,,,,,,,,
"Deferred Tax Liability",100844,85392,20695,33197,25719,2316,2512,2066,2423,1040,908,236,
"Other Long-Term Liabilities",130035,109965,88246,69256,55696,33888,23015,18123,11645,7789,6392,5618,
"Total Long-Term Liabilities",248153,213172,293923,321218,81415,36204,25527,20189,14068,8829,7300,5854,
"Creditors and Provisions",223354,172607,158037,158094,132716,180582,184731,173951,174680,153585,156044,149282,
"Tax",43868,22969,19453,42132,51138,55911,46475,47209,44321,26652,36712,38740,
"Bank Overdrafts/Short-Term Loans",12099,13516,13212,42003,265784,165027,140122,72305,32701,187,551,114,
"Other Current Liabilities",209083,197814,140382,128033,139905,39605,30233,28393,18104,17592,7101,7453,
"Other Current Liabilities: Finance Lease obligations",,,,,,,18518,12461,10848,6604,5988,6218,
"Other Current Liabilities: Loans from related parties",,,,,,,4693,3778,1228,1478,1113,1235,
"Other Current Liabilities: Provisions",,,,,,,,6124,,5500,,,
"Other Current Liabilities: Share based expenses",,,,,,,7022,,6028,4010,,,
"Other Current Liabilities: Share based payment liability",,,,,,,,6030,,,,,
"Total Current Liabilities",488404,406906,331084,370262,589543,441125,401561,321858,269806,198016,200408,195589,
"Total Liabilities",736557,620078,625007,691480,670958,477329,427088,342047,283874,206845,207708,201443,
"Total Equity and Liabilities",2093391,1844453,1677090,1529098,1406143,1077750,944972,803824,731723,667340,612563,575205,

Share/unit data,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Number of Shares in Issue (Actual)",300000000,300000000,300000000,300000000,300000000,300000000,300000000,300000000,300000000,300000000,300000000,300000000,
"Weighted Average Shares in Issue (Actual)",298766000,298766000,298766000,298766000,298766000,298766000,300000000,298766000,300000000,299949000,300000000,300000000,
"Market Capitalisation (R'000)",8400000,7200000,5670000,4530000,4650000,6300000,4050000,3150000,3000000,2925000,3165000,2730000,
"Number of Months",6,12,6,12,6,12,6,12,6,12,6,12,
"Number of Employees",,,,,,,,1631,,1533,,,

Share statistics,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Earnings Per Share (ZARc)",87.2,148.3,72.3,116.4,56.4,100.5,46.6,86,38.5,80,36,64,
"Diluted Earnings Per Share (ZARc)",87.2,148.3,72.3,116.4,56.4,100.5,46.6,86,38.5,80,,64,
"Headline Earnings Per Share (Cont Ops) (ZARc)",87.2,148.1,72.2,115.8,56.3,100.5,46.2,85,38.4,81,37,64,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,,,,,,46.2,,38.4,81,,64,
"Interim Dividend (ZARc)",87,20,20,18,18,18,18,20,20,20,20,,
"Final Dividend (ZARc)",,54,,12,,28,,35,,35,,30,
"Dividend Per Share (ZARc)",87,74,20,30,18,46,18,55,20,55,20,30,
"Distributions Per Share (ZARc)",87,74,20,30,18,46,18,55,20,55,20,30,
"Net Asset Value Per Share (ZARc)",445.12,400.06,343.55,273.74,243.27,196.77,168.34,149.19,143.3,148.04,128.21,120.12,
"3 Year Beta",0.79,0.5,0.22,0.23,0.2,-0.23,,,,,,,
"Cash Generated Per Share",155.74,304.71,137.89,157.42,87.4,155.94,59.4,128.88,70.52,87.13,38.44,88.84,
"Net Asset Value Per Share (Base Currency)",445.12,400.06,343.55,273.74,243.27,196.77,168.34,149.19,143.3,148.04,128.21,120.12,
"Price at Period End (Base Currency)",2800,2400,1890,1510,1550,2100,1350,1050,1000,975,1055,910,
"JSE Market Price High (ZARc)",3500,2940,2049,2140,2140,2175,1415,1100,1035,1250,1065,999,
"JSE Market Price Low (ZARc)",1750,1305,1305,1156,1350,1025,1025,855,855,750,750,851,
"JSE Market Price at Period End (ZARc)",2800,2400,1890,1510,1550,2100,1350,1050,1000,975,1055,910,
"JSE Volume Traded (Actual)",11424851,220777707,214420112,24262651,6702563,41202069,31925312,24561406,12609284,21097171,17148752,943219,
"JSE Rand Value Traded (Actual)",280697789,4215610253,4060419357,356002082,114220310,546373189,384650188,250526797,123499905,209365855,169978854,8803042,
"12 Month HEPS",163.1,148.1,131.7,115.8,110.6,100.5,92.8,85,82.4,81,74,64,
"12 Month Dividend",141,74,32,30,46,46,46,53,55,55,55,50,

Cash flow items,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Cash generated by operations",575278,967114,480018,,,,,,,,,,
"Working capital changes",-49301,84141,19227,,,,,,,,,,
"Cash generated from operations after WC",526337,1065355,499245,635754,339896,589073,242623,473685,,391752,171929,343832,
"Net Cash flow from operating activities",467222,914120,413678,472258,262201,467813,178199,386651,211569,261386,115330,266516,
"Net cash flow from investing activities",-186387,-427436,-209734,-429515,-289808,-416457,-182878,-262387,-126906,-154308,-70670,-168477,
"Net cash flow from financing activities",-194584,-380949,-105443,83406,-92254,-143077,-92102,-163559,-103190,-173867,-89674,-29983,
"Dividends paid",-161333,-104717,-44232,-148515,-94420,-166041,-105233,-169767,-105613,-164048,-90686,-58832,
"Net increase(decrease) in cash & cash equivalents",86251,105735,98501,126449,-119861,-91721,-96781,-39295,-18527,-66789,-45014,68056,
"Cash & Cash Equivalent beginning of period",145787,38144,38144,-95454,-95454,-2227,-2227,44994,44994,109933,109933,41657,
"Translation effects on cash & cash equivalents",359,1908,4424,7149,10668,-1506,1007,-7926,-2553,1850,1574,220,
"Cash & Cash Equivalent end of period",232397,145787,141069,38144,-204647,-95454,-98001,-2227,23914,44994,66493,109933,

Ratios,"Aug 2020","Feb 2020","Aug 2019","Feb 2019","Aug 2018","Feb 2018","Aug 2017","Feb 2017","Aug 2016","Feb 2016","Aug 2015","Feb 2015",
,"Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)","Interim (6m)","Final (12m)",
,"14 Oct 2020","13 May 2020","23 Oct 2019","28 May 2019","31 Oct 2018","24 Apr 2018","11 Oct 2017","17 May 2017","27 Oct 2016","31 May 2016","16 Nov 2015","25 May 2015",
"Return on Capital Employed",33.38,31.75,33.19,31.16,42.19,48.77,52.98,54.81,51.68,55.29,57.19,54.78,
"Return on Shareholder Funds",39.48,37.28,42.47,43.1,46.86,51.71,55.59,57.21,53.31,56.35,58.23,55.64,
"Return on Total Assets",38.52,37.52,40.28,33.82,38.36,43.52,47.39,52.3,57.94,67.78,70.57,68.13,
"Gross Profit Margin",72.78,70.4,69.91,71.37,76.56,73.03,77.57,79.96,80.38,81.43,82.04,77.77,
"Operating Profit Margin",33.97,33.05,33.67,29.53,32.35,32.8,31.76,32.33,30.33,34.29,34.9,34.74,
"Net Profit Margin",24.06,22.81,23.02,20.55,21.37,22.67,22.1,22.52,20.77,23.84,23.23,22.98,
"Debt:Equity (excl non-int debt)",0.19,0.19,0.29,0.43,0.47,0.34,0.32,0.2,0.1,0.02,0.02,0.02,
"Interest Bearing Debt as % of Long-Term Finance",1.26,1.43,14.95,20.71,,,,,,,,,
"Interest Cover",424.34,45.07,32.08,17.43,23.51,35.93,50.23,204.87,7640.5,-201.04,-242.85,-80.36,
"Quick Ratio",1.1,1.02,1.06,0.74,0.43,0.52,0.53,0.71,0.71,0.91,0.86,1.01,
"Current Ratio",1.53,1.39,1.67,1.3,0.75,0.92,0.93,1.09,1.03,1.36,1.32,1.33,
"Dividend Cover",1,2,3.62,3.88,3.13,2.18,2.59,1.56,1.93,1.45,1.8,2.13,
"Dividend Cover (HEPS)",1,2,3.61,3.86,3.13,2.18,2.57,1.55,1.92,1.47,1.85,2.13,
"Debtors Collection Period",48.27,47.32,39.88,46.49,45.33,42.71,47.66,48.44,43.13,46.7,36.81,35.72,
"Stock Turn",2.84,3.79,2.78,2.35,1.96,2.06,1.76,1.86,2.51,2.11,1.84,2.97,
"Price : Earnings",17.17,16.21,14.35,13.04,14.01,20.9,14.55,12.35,12.14,12.04,14.26,14.22,
"Sales Per Share (Base Currency)",725.07,649.97,628.02,566.57,527.73,443.24,419.91,381.9,369.43,335.22,313.17,278.27,
"Price/Sales Per Share",3.86,3.69,3.01,2.67,2.94,4.74,3.21,2.75,2.71,2.91,3.37,3.27,
"Price/Net Asset Value",6.29,6,5.5,5.52,6.37,10.67,8.02,7.04,6.98,6.59,8.23,7.58,
"Price/Cash Flow",35.96,7.88,27.41,9.59,35.47,13.47,45.45,8.15,28.36,11.19,54.89,10.24,
"NAV%Price",15.9,16.67,18.18,18.13,15.69,9.37,12.47,14.21,14.33,15.18,12.15,13.2,
"Liquidity%",126.87,147.42,132.38,68.3,78.16,98.01,83.45,113.04,149.06,126.37,111.05,132.3,
"Cash Flow:Attributable Profit",3.59,2.06,3.83,1.36,3.11,1.56,2.56,1.52,3.68,1.17,2.11,1.39,
"Cash/Equity (%)",17.13,11.91,13.41,6.2,7.07,11.59,8.13,,,,,,
"EV/Ebitda (Pd)",14.37,7.42,12.14,9.72,19.24,,,,,,,,
"PEG Ratio",0.92,0.87,0.88,0.8,0.83,1.27,0.92,0.78,0.46,0.45,,,

