"Gross Profit Margin",,44.63,,41.7,
"Operating Profit Margin",22.17,16.09,19.2,14.7,
"Net Profit Margin",9.39,0.99,5.72,-3.28,
"Debt:Equity (excl non-int debt)",1.71,1.85,1.57,1.55,
"Interest Cover",14.71,9.87,18.88,6.06,
"Quick Ratio",1,1.09,1.05,1.02,
"Current Ratio",1.04,1.14,1.11,1.08,
"Dividend Cover",,0.21,,,
"Dividend Cover (HEPS)",,0.23,,,
"Debtors Collection Period",26.08,27.62,31.63,29.84,
"Stock Turn",26.99,32.56,27.69,31.6,
"Price : Earnings",26.98,67.01,71.71,-34.19,
"Sales Per Share (Base Currency)",12203.75,11813.1,11768.35,11411.16,
"Price/Sales Per Share",0.79,0.73,1,1.06,
"Price/Net Asset Value",3.29,2.88,3.79,5.41,
"Price/Cash Flow",21.87,4.72,31.65,9.72,
"NAV%Price",30.4,34.74,26.39,18.48,
"Liquidity%",20.98,21.28,19.01,17.46,
"Cash Flow:Attributable Profit",3.99,2.76,3.54,2.16,
"Cash/Equity (%)",85.98,97.95,69.73,68.64,
"EV/Ebitda (Pd)",,3.06,10.44,7.02,
"PEG Ratio",0.2,0.49,,,

