,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Ordinary Share Capital & Premium",1231873,1231873,1231873,1230171,1230171,1230171,1230171,1230171,1230171,1230171,1230171,1230171,1230171,1230171,1230171,,1230171,1230171,1230171,1230171,1230171,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1230358,1219969,1219969,1219969,1219950,1219869,890906,890876,890876,890270,
"Treasury Shares",204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,,204,204,204,204,204,204,204,204,204,204,204,204,204,204,334,334,334,334,334,334,334,334,334,,,,,,
"Distributable Reserves",-811062,-811235,-811235,-800041,-803163,-800407,-800407,-800170,-782512,-782512,-778640,-775121,-775121,-771400,-752492,,-725674,-710454,-710454,-707788,-706059,-584923,-584923,-583099,-581103,-581880,-581553,-581553,-410380,-431114,-433467,-428438,-428438,-342764,-333856,-248984,-250348,-250348,-242397,-236764,-241805,-245844,-245844,-249292,
"Non-Distributable Reserves",-315237,-319195,-319195,-292188,-303059,-293318,-293318,-295888,-289352,-289352,,-281477,-281477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Translation Reserves",,,,,,,,,,,-271871,,,-288980,-296950,,-308468,-260350,-260350,-260602,-244432,-212807,-212807,-212807,-208420,-189987,-185320,-185320,-175539,-102163,-113329,-110367,-110367,-70303,-103479,-116245,16984,16984,15727,17456,-20798,-70418,-70418,-43020,
"Other Capital",1069,1069,1069,501,524,429,429,410,428,428,569,563,563,590,5305,,5305,5305,5305,5305,5305,5287,5287,5343,5334,7638,11896,11896,12081,8991,43868,43887,43887,43872,41563,41542,41528,41528,41517,33390,33745,33744,33744,33998,
"Ordinary Shareholders' Interest",106439,102308,102308,138239,124269,136671,136671,134319,158531,158531,180025,173932,173932,170177,185830,185830,201130,264468,264468,266882,284781,437711,437711,439591,445965,465925,475177,475177,656316,705868,727096,735106,735106,860829,834252,895948,1027799,1027799,1034463,1033951,662048,608358,608358,631956,
"Minority Interest",-39130,-37654,-37654,-44738,-41400,-43741,-43741,-42299,-40989,-40989,-44330,-40962,-40962,-38192,-35019,-35019,-29710,-34665,-34665,-34232,-35454,-33514,-33514,-32416,-31020,-31117,-29750,-29750,-17099,-11410,-13464,-11131,-11131,-7969,-3483,389,2384,2384,5317,7228,7359,7585,7585,8878,
"Total Shareholders' Interest",67309,64654,64654,93501,82869,92930,92930,92020,117542,117542,135695,132970,132970,131985,150811,150811,171420,229803,229803,232650,249327,404197,404197,407175,414945,434808,445427,445427,639217,694458,713632,723975,723975,852860,830769,896337,1030183,1030183,1039780,1041179,669407,615943,615943,640834,
"Other Long-Term Liabilities",77616,58491,58491,56289,63012,54772,54772,50204,39785,39785,6340,9056,9056,8279,7271,7271,6590,9687,9687,9534,9816,9693,9693,9582,9414,10736,10739,10739,11364,12066,8695,8646,8646,9047,8390,7723,9068,9068,8897,8934,11722,10499,10499,11349,
"Long-Term Liabilities",77616,58491,58491,56289,63012,54772,54772,50204,39785,39785,6340,9056,9056,8279,7271,7271,6590,9687,9687,9534,9816,9693,9693,9582,9414,10736,10739,10739,11364,12066,8695,8646,8646,9047,8390,7723,9068,9068,8897,8934,11722,10499,10499,11349,
"Deferred Tax Liability",3168,3064,3064,3368,3232,3332,3332,3147,3244,3244,3373,3081,3081,2936,2679,2679,2488,3869,3869,3888,4100,16857,16857,16787,16803,17441,17559,17559,18548,19977,20331,20424,20424,38154,33520,36904,44538,44538,45049,46642,43255,40041,40041,42376,
"Total Capital Employed",148093,126209,126209,153158,149113,151034,151034,145371,160571,160571,145408,145107,145107,143200,160761,160761,180498,243359,243359,246072,263243,430747,430747,433544,441162,462985,473725,473725,669129,726501,742658,753045,753045,900061,872679,940964,1083789,1083789,1093726,1096755,724384,666483,666483,694559,
"Mining Assets",117239,111697,111697,135397,126008,136409,136409,133704,132057,132057,109631,105938,105938,100816,99497,99497,116733,167129,167129,167968,176973,331020,331020,334732,336628,353027,363040,363040,536148,577031,576853,564494,564494,661159,615439,639584,728933,728933,715365,715976,671220,616758,616758,643643,
"Other Assets",9094,8712,8712,10608,7933,8327,8327,8831,10031,10031,9624,12871,12871,14865,8811,8811,8049,9887,9887,9878,10185,11420,11420,11434,11275,11521,8716,8716,15330,16332,16683,16825,16825,17933,17004,18255,21894,21894,18005,18088,17123,15728,15728,16522,
"Other Assets: Other Assets",,,,,,,,,,,,,,,,,,,,,,,,,9180,9060,,,8906,9062,8905,8595,8595,8781,7995,7671,8810,8810,4498,3823,,2739,2739,2581,
"Other Assets: Refining contract",,,,,,,,,,,,,,,,,,,,,,,,,2095,2461,,,6424,7270,7778,8230,8230,9152,9009,10584,13084,13084,13507,14265,,12989,12989,13941,
"Stores",1074,804,804,1090,949,1092,1092,1055,1151,1151,1256,2111,2111,2033,1858,1858,1838,2347,2347,2396,2532,2731,2731,2767,2777,2980,3041,3041,4440,4746,6862,6556,6556,9081,7989,7799,7852,7852,8656,8832,8288,5621,5621,5653,
"Debtors and Payments in Advance",13620,10414,10414,15796,11604,9694,9694,1345,1644,1644,894,1018,1018,834,984,984,1159,3093,3093,3124,3227,3612,3612,3550,3608,6678,12805,12805,14575,14854,30322,27244,27244,32949,23580,31154,26886,26886,34221,33787,31856,29629,29629,33262,
"Cash",7066,4671,4671,1957,2297,1882,1882,4213,11919,11919,8392,5571,5571,5890,26828,26828,8283,33524,33524,26191,13966,2082,2082,6414,14489,16573,46781,46781,66432,70699,68662,57397,57397,78010,151838,49436,76159,76159,95846,107846,7718,6280,6280,3370,
"Other Current Assets",,,,,322,324,324,1397,6479,6479,17152,19473,19473,20348,24003,24003,48051,31606,31606,40820,61438,85215,85215,80632,78471,81634,57982,57982,49198,60226,66932,110474,110474,135482,98963,217728,251614,251614,253873,242446,12287,13285,13285,13923,
"Current Assets",21760,15889,15889,18843,15172,12992,12992,8010,21193,21193,27694,28173,28173,29105,53673,53673,59331,70570,70570,72531,81163,93640,93640,93363,99345,107865,120609,120609,134645,150525,172778,201671,201671,255522,282370,306117,362511,362511,392596,392911,60149,54815,54815,56208,
"Total Assets",148093,136298,136298,164848,149113,157728,157728,150545,163281,163281,146949,146982,146982,144786,161981,161981,184113,247586,247586,250377,268321,436080,436080,439529,447248,472413,492365,492365,686123,743888,766314,782990,782990,934614,914813,963956,1113338,1113338,1125966,1126975,748492,687301,687301,716373,
"Creditors and Provisions",14098,7828,7828,9145,6733,4349,4349,2979,2710,2710,1541,1875,1875,1586,1220,1220,3615,4227,4227,4305,5078,5333,5333,5985,6086,9428,18640,18640,16994,17387,23656,29945,29945,34553,40459,20797,26965,26965,29055,27009,23060,19882,19882,20858,
"Other Current Liabilities",2664,2261,2261,2545,2527,2345,2345,2195,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,2195,2584,2584,3185,3211,1048,936,936,956,
"Current Liabilities",16762,10089,10089,11690,9260,6694,6694,5174,2710,2710,1541,1875,1875,1586,1220,1220,3615,4227,4227,4305,5078,5333,5333,5985,6086,9428,18640,18640,16994,17387,23656,29945,29945,34553,42134,22992,29549,29549,32240,30220,24108,20818,20818,21814,
"Net Current Assets",4998,5800,5800,7153,5912,6298,6298,2836,18483,18483,26153,26298,26298,27519,52453,52453,55716,66343,66343,68226,76085,88307,88307,87378,93259,98437,101969,101969,117651,133138,149122,171726,171726,220969,240236,283125,332962,332962,360356,362691,36041,33997,33997,34394,
"Employment of Capital - Balance",16762,,,,9260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Share/unit data,"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Exchange Rate (period end)",16.92,17.33,17.33,14.05,15.16,14.09,14.09,14.43,13.75,13.75,12.37,13.05,13.05,13.69,14.86,14.86,15.52,12.28,12.28,12.12,11.6,10.59,10.59,10.53,10.5,10.06,9.89,9.89,9.09,8.48,8.32,8.27,8.27,7.67,8.14,7.09,6.87,6.84,7.34,7.3,7,7.62,7.65,7.39,
"Exchange Rate (weighted average)",16.91,17.96,16.66,14.45,14.68,14.2,14.2,13.25,12.3,12.63,13.3,13.21,13.2,14.71,15.41,15,12.75,12.08,11.91,11.73,10.83,10.7,10.6,10.86,9.64,9.99,9.48,9.13,8.87,8.22,8.26,7.92,8.1,,,,,,,,,,,,
"Number of Shares in  Issue (Actual)",100599000,92951000,92775000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92639032,92639032,92639032,92700000,92781000,92781000,92780500,92818784,92818784,92780500,92780500,92780500,92818784,92749900,92749900,92749900,92749900,90819900,90818800,90818780,90818780,90807192,68317700,68303800,68279200,68200000,68120000,
"Weighted Average Number of Shares (Actual)",100599000,92951000,92775000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92601000,92700000,92781000,92781000,92780500,92781000,92780500,92780500,92780500,92780500,92752500,92749900,92749900,92749900,92749900,90819900,90818800,90809900,90818300,90801500,68317700,68303800,68279200,68200000,68120000,
"Fully Diluted Weighted Average Shares in Issue",101622000,92951000,92775000,92791000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92599000,92601000,92700000,92781000,92781000,92780500,92781000,92780500,92780500,92780500,92780500,92752500,92749900,92749900,92749900,92749900,90819900,91670600,90809900,90818300,90801500,69483900,69340900,69398800,69390900,6938300,
"JSE Market Capitalisation (R000)",451690,250968,250493,277797,296317,58337,58337,148158,277797,277797,300947,278723,278723,600968,1203787,1203787,740792,1528544,1528544,1372910,1316340,835029,835029,742244,649731,612604,686576,686576,1233981,1364436,1354149,1539648,1539648,2875247,4150469,5131262,5085852,5085852,8608522,8034162,6762076,4779544,4774000,7288840,
"JSE Market Capitalisation (R000): EASTPLATS (EPS)",,,,,,,,,,,,,,,,,,,,,,,,742550,649731,612604,,686859,1234490,1364436,1355154,1540792,1540792,2877382,4241818,5244261,5197852,5197852,8799220,10915489,8991059,4782253,6356289,9717610,
"Number of Months",3,3,6,12,3,6,3,12,6,3,12,6,3,12,6,3,12,3,6,3,12,6,3,3,12,3,3,6,3,12,3,6,3,3,12,3,6,3,3,12,3,3,6,3,

Share statistics,"Sep 2020","Jun 2020","Jun 2020","Dec 2019","Sep 2019","Jun 2019","Jun 2019","Dec 2018","Jun 2018","Jun 2018","Dec 2017","Jun 2017","Jun 2017","Dec 2016","Jun 2016","Jun 2016","Dec 2015","Jun 2015","Jun 2015","Mar 2015","Dec 2014","Jun 2014","Jun 2014","Mar 2014","Dec 2013","Sep 2013","Jun 2013","Jun 2013","Mar 2013","Dec 2012","Sep 2012","Jun 2012","Jun 2012","Mar 2012","Dec 2011","Sep 2011","Jun 2011","Jun 2011","Mar 2011","Dec 2010","Sep 2010","Jun 2010","Jun 2010","Mar 2010",
,"Qtrly (3m)","Qtrly (3m)","Interim (6m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)","Qtrly (3m)","Final (12m)","Qtrly (3m)","Qtrly (3m)","Interim (6m)","Qtrly (3m)",
,"13 Nov 2020","7 Aug 2020","7 Aug 2020","27 Mar 2020","8 Nov 2019","14 Aug 2019","14 Aug 2019","27 Mar 2019","15 Aug 2018","15 Aug 2018","28 Mar 2018","14 Aug 2017","14 Aug 2017","15 Jun 2017","16 Aug 2016","16 Aug 2016","31 Mar 2016","5 Oct 2015","5 Oct 2015","5 Oct 2015","8 Apr 2015","17 Nov 2014","17 Nov 2014","15 May 2014","14 Mar 2014","15 Nov 2013","15 Aug 2013","15 Aug 2013","15 May 2013","14 Mar 2013","14 Nov 2012","14 Aug 2012","14 Aug 2012","14 May 2012","6 Mar 2012","14 Nov 2011","15 Aug 2011","15 Aug 2011","12 May 2011","24 Mar 2011","15 Nov 2010","11 Aug 2010","11 Aug 2010","12 May 2010",
"Earnings Per Share (ZARc)",,-53.88,-199.92,,-44.04,-14.2,14.2,-318,-49.2,-50.52,-106.4,-52.84,26.4,-809.05,-446.96,-360.08,-267.94,-36.24,-59.55,-234.6,-1462.05,-420,-212,-217.2,-1629.16,,-1422,-1460.8,-88.7,-904.2,-82.6,-792,-729,-76.7,-651.2,,-68.7,-68.4,-73.4,146.1,5.91,5.05,6.26,,
"Diluted Earnings Per Share (ZARc)",,-53.88,-199.92,,-44.04,-14.2,14.2,-318,-49.2,-50.52,-106.4,-52.84,26.4,-809.05,-446.96,-360.08,-267.94,-36.24,-59.55,-234.6,-1462.05,-420,-212,-217.2,-1629.16,,-1422,-1460.8,-88.7,-904.2,-82.6,-792,-729,-76.7,-651.2,,-68.7,-68.4,-73.4,146.1,73.1,,76.5,,
"Headline Earnings Per Share (Cont Ops) (ZARc)",,-53.88,-199.92,-43.35,-44.04,-14.2,14.2,-119.25,-61.5,-50.52,-106.4,-52.84,26.4,-809.05,-107.87,-75,,,,,,,,,,,,,,,,,,,,,,,,,,76.2,76.5,,
"Diluted Headline Earnings Per Share (Cont) (ZARc)",,-53.88,-199.92,-43.35,-44.04,-14.2,14.2,-119.25,-61.5,-50.52,-106.4,-52.84,26.4,-397.17,-107.87,-75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net Asset Value Per Share (ZARc)",1790.31,1907.51,1911.15,2097.52,2034.47,2079.54,2079.54,2093.07,2354,2354,2404.85,2451.18,2451.18,2515.95,3010.84,3010.84,3373.12,3505.69,3505.69,3491.65,3563.64,4987.89,4996.04,4989.11,5045.3,5015,5065.7,5065.7,6430.3,6495.5,6522,6554.8,6554.8,7125.9,7477.4,7000.4,7774.8,7746.4,7798.5,11061.1,969.27,890.99,892.02,6858.1,
"3 Year Beta",1.56,1.15,1.15,-2.47,-2.44,-0.34,-0.34,0.78,-0.21,-0.21,0.28,0.04,0.04,0.34,-0.25,-0.25,-0.17,0.41,0.41,1.14,1.32,0.94,0.94,1.03,1.32,1.54,1.8,1.8,1.89,1.45,1.74,1.55,1.55,1.01,0.77,1.29,1.86,1.86,1.76,1.71,1.53,1.6,1.6,,
"Cash Generated per share",,,3.56,-9.55,,-8.59,,-3.07,0.86,,-8.4,4.22,,-13.45,-7.42,-2.14,11.23,-2.77,-5.57,-2.8,-11.32,-6.03,-3.15,-2.89,-23.66,-10.41,-4.93,-10.44,-5.51,-22.48,-14.04,-16.55,-8.53,-8.02,1.56,-10.64,8.37,1.8,6.56,46.8,13.72,14.7,14.23,-0.49,
